fecha_registro,id_mensaje_imap,remitente,asunto,categoria,estado
2026-06-07 19:45:45,802,betth2002@gmail.com,Tengo una queja #2,Queja,Pendiente de revisión humana
2026-06-07 19:46:02,807,betth2002@gmail.com,Tengo una queja #7,Queja,Pendiente de revisión humana
2026-06-07 19:46:22,812,betth2002@gmail.com,Tengo una queja #12,Queja,Pendiente de revisión humana
2026-06-07 19:46:25,814,betth2002@gmail.com,Tengo una queja #14,Queja,Pendiente de revisión humana
2026-06-07 19:46:30,818,betth2002@gmail.com,Tengo una queja #18,Queja,Pendiente de revisión humana
2026-06-07 19:48:56,821,betth2002@gmail.com,Tengo una queja #1,Queja,Pendiente de revisión humana
2026-06-07 19:49:39,828,betth2002@gmail.com,Tengo una queja #8,Queja,Pendiente de revisión humana
2026-06-07 19:49:42,830,betth2002@gmail.com,Tengo una queja #10,Queja,Pendiente de revisión humana
2026-06-07 19:50:02,836,betth2002@gmail.com,Tengo una queja #16,Queja,Pendiente de revisión humana
2026-06-07 19:50:05,838,betth2002@gmail.com,Tengo una queja #18,Queja,Pendiente de revisión humana
2026-06-07 19:57:20,841,betth2002@gmail.com,Tengo una queja #1,Queja,Pendiente de revisión humana
2026-06-07 19:57:55,852,betth2002@gmail.com,Tengo una queja #12,Queja,Pendiente de revisión humana
2026-06-07 19:58:08,853,betth2002@gmail.com,Tengo una queja #13,Queja,Pendiente de revisión humana
2026-06-07 19:58:10,854,betth2002@gmail.com,Tengo una queja #14,Queja,Pendiente de revisión humana
2026-06-07 19:58:21,859,betth2002@gmail.com,Tengo una queja #19,Queja,Pendiente de revisión humana
2026-06-07 21:40:57,864,betth2002@gmail.com,Tengo una queja #4,Queja,Pendiente de revisión humana
2026-06-07 21:41:36,872,betth2002@gmail.com,Tengo una queja #12,Queja,Pendiente de revisión humana
2026-06-07 21:41:42,874,betth2002@gmail.com,Tengo una queja #14,Queja,Pendiente de revisión humana
2026-06-07 21:41:44,875,betth2002@gmail.com,Tengo una queja #15,Queja,Pendiente de revisión humana
2026-06-07 21:42:05,880,betth2002@gmail.com,Tengo una queja #20,Queja,Pendiente de revisión humana
2026-06-07 22:17:29,883,betth2002@gmail.com,Tengo una queja #3,Queja,Pendiente de revisión humana
2026-06-07 22:18:01,892,betth2002@gmail.com,Tengo una queja #12,Queja,Pendiente de revisión humana
